Game,Winner,Sequence,XRow,XCol,ORow,OCol
game000000,O,0,7,5,2,2
game000000,O,1,5,7,6,0
game000000,O,2,2,6,7,2
game000000,O,3,6,7,6,6
game000000,O,4,5,3,7,3
game000000,O,5,0,3,4,7
game000000,O,6,0,5,0,6
game000000,O,7,5,4,4,1
game000000,O,8,1,0,1,7
game000000,O,9,1,3,1,5
game000000,O,10,5,2,2,4
game000000,O,11,3,3,1,1
game000000,O,12,7,7,2,5
game000000,O,13,3,4,2,1
game000000,O,14,1,4,0,0
game000000,O,15,4,4,0,1
game000000,O,16,6,3,1,6
game000000,O,17,2,0,3,1
game000001,X,0,5,6,7,0
game000001,X,1,5,1,6,1
game000001,X,2,1,7,7,4
game000001,X,3,6,7,4,5
game000001,X,4,4,3,1,4
game000001,X,5,2,6,5,7
game000001,X,6,0,2,6,4
game000001,X,7,2,5,5,4
game000001,X,8,3,4,4,2
game000001,X,9,6,2,2,2
game000001,X,10,2,1,1,6
game000001,X,11,7,7,4,0
game000001,X,12,6,6,0,6
game000001,X,13,5,3,5,5
game000001,X,14,2,7,7,6
game000001,X,15,2,4,6,3
game000001,X,16,3,6,1,2
game000001,X,17,4,7,7,3
game000001,X,18,5,0,0,5
game000001,X,19,0,7,6,5
game000001,X,20,3,0,1,5
game000001,X,21,0,3,1,0
game000002,X,0,6,0,4,4
game000002,X,1,3,5,0,2
game000002,X,2,0,0,7,7
game000002,X,3,0,7,2,0
game000002,X,4,5,5,3,7
game000002,X,5,4,0,6,6
game000002,X,6,3,1,7,5
game000002,X,7,1,3,7,1
game000002,X,8,3,3,1,7
game000002,X,9,6,7,7,6
game000002,X,10,4,3,3,6
game000002,X,11,2,3,7,0
game000002,X,12,5,7,0,6
game000002,X,13,5,4,3,2
game000002,X,14,4,6,6,1
game000003,O,0,3,5,4,2
game000003,O,1,1,0,5,3
game000003,O,2,3,7,6,5
game000003,O,3,1,1,1,7
game000003,O,4,2,0,5,5
game000003,O,5,2,6,4,3
game000003,O,6,0,6,0,1
game000003,O,7,3,3,3,0
game000003,O,8,3,1,7,6
game000003,O,9,2,2,2,1
game000003,O,10,0,3,0,5
game000003,O,11,0,4,7,2
game000003,O,12,5,7,1,4
game000003,O,13,1,2,7,3
game000003,O,14,7,7,5,1
game000003,O,15,2,5,6,7
game000003,O,16,7,4,0,0
game000003,O,17,4,5,2,7
game000003,O,18,1,5,6,2
game000003,O,19,2,3,3,2
game000003,O,20,6,3,2,4
game000003,O,21,4,0,6,6
game000003,O,22,4,4,5,6
game000003,O,23,5,2,7,5
game000003,O,24,6,4,4,1
game000003,O,25,4,6,5,4
game000004,X,0,5,5,7,6
game000004,X,1,7,3,7,7
game000004,X,2,5,6,4,4
game000004,X,3,6,5,0,4
game000004,X,4,3,7,0,7
game000004,X,5,4,3,0,0
game000004,X,6,6,7,0,1
game000004,X,7,1,7,5,2
game000004,X,8,6,1,0,3
game000004,X,9,4,1,6,4
game000004,X,10,5,7,7,0
game000004,X,11,3,2,5,4
game000004,X,12,4,5,7,5
game000004,X,13,7,1,1,4
game000004,X,14,5,0,7,2
game000004,X,15,6,0,5,1
game000004,X,16,4,0,2,6
game000004,X,17,2,2,6,6
game000004,X,18,3,5,3,4
game000004,X,19,0,2,6,3
game000004,X,20,2,4,1,5
game000004,X,21,4,6,2,7
game000004,X,22,3,1,3,3
game000004,X,23,4,7,1,0
game000004,X,24,3,6,1,6
game000004,X,25,1,1,5,3
game000004,X,26,3,0,1,2
game000004,X,27,6,2,0,6
game000005,O,0,2,7,2,0
game000005,O,1,5,0,0,2
game000005,O,2,7,6,6,7
game000005,O,3,7,3,3,3
game000005,O,4,0,5,2,2
game000005,O,5,0,4,6,5
game000005,O,6,5,6,0,7
game000005,O,7,4,6,6,1
game000005,O,8,2,6,5,1
game000005,O,9,1,2,4,4
game000005,O,10,5,3,5,2
game000005,O,11,3,6,7,1
game000005,O,12,2,3,4,7
game000005,O,13,3,2,7,4
game000005,O,14,4,5,5,5
game000005,O,15,0,6,3,5
game000005,O,16,3,7,4,3
game000005,O,17,3,0,6,6
game000006,X,0,1,5,3,7
game000006,X,1,5,4,4,7
game000006,X,2,2,3,7,2
game000006,X,3,0,5,3,4
game000006,X,4,5,6,6,5
game000006,X,5,7,0,6,7
game000006,X,6,1,3,4,4
game000006,X,7,4,5,2,5
game000006,X,8,2,2,5,3
game000006,X,9,2,1,0,2
game000006,X,10,0,3,5,5
game000006,X,11,2,7,1,4
game000006,X,12,3,5,4,2
game000006,X,13,7,7,0,7
game000006,X,14,3,0,5,1
game000006,X,15,5,7,6,4
game000006,X,16,2,6,5,0
game000006,X,17,3,2,4,1
game000006,X,18,1,7,4,0
game000006,X,19,0,1,0,6
game000006,X,20,2,0,4,6
game000006,X,21,0,4,0,0
game000006,X,22,6,0,3,1
game000006,X,23,7,5,1,6
game000006,X,24,5,2,1,1
game000006,X,25,6,1,1,2
game000006,X,26,4,3,7,4
game000006,X,27,7,6,3,6
game000006,X,28,6,2,1,0
game000007,X,0,4,7,1,0
game000007,X,1,4,5,6,5
game000007,X,2,1,2,0,2
game000007,X,3,0,0,1,1
game000007,X,4,2,0,2,5
game000007,X,5,3,0,7,1
game000007,X,6,2,4,1,4
game000007,X,7,6,2,4,3
game000007,X,8,3,2,4,6
game000007,X,9,2,1,2,3
game000007,X,10,1,7,5,0
game000007,X,11,4,2,1,6
game000007,X,12,5,7,2,6
game000007,X,13,2,2,7,2
game000007,X,14,6,4,7,6
game000007,X,15,0,1,4,4
game000007,X,16,7,3,1,3
game000007,X,17,7,7,0,6
game000007,X,18,3,1,6,3
